epoch,train_loss,valid_loss,learning_rate,time_taken
1,75.04967444976363,68.45848051168151,0.001,86.35389560000021
2,62.19572953854577,52.86403172164314,0.001,84.74755950000008
3,60.87873275978513,53.170192082722984,0.001,85.22503860000006
4,58.83243688140019,47.29549223150911,0.001,84.98866459999999
5,57.55004413422314,47.824272934326345,0.001,85.64274299999988
6,54.90172066324848,46.266502590502725,0.001,84.6836129000003
7,54.32865221679355,44.5197241831634,0.001,84.78617710000026
8,51.11660342124126,45.1022451314549,0.001,85.66090310000072
9,50.78871256733633,44.52067562685175,0.001,84.91930570000022
10,46.48905014818575,42.55316131667229,0.001,84.78787449999982
11,45.13418849213071,38.741127337439586,0.001,85.86229689999982
12,43.845853887227776,52.334768160588325,0.001,85.15538519999973
13,42.43520322088468,37.00473121061163,0.001,85.0722338000005
14,41.488330008186956,39.395715045390155,0.001,85.4167668
15,40.31498251786821,37.7752090766605,0.001,84.76578450000034
16,40.344556909496504,36.93137581334949,0.001,84.85551260000011
17,40.68631072006849,36.270334453906045,0.001,85.30014130000018
18,37.83236379311679,34.59378647130762,0.001,85.80612610000026
19,38.636561884718425,34.60554899334234,0.001,85.7429573999998
20,35.987219721584,35.13720211740267,0.001,85.41723509999974
21,36.45669180688789,33.74498445166033,0.001,85.8633149999996
22,37.816793789442166,34.02680456840386,0.001,85.23689139999988
23,35.13881652695792,32.55276034511415,0.001,84.7061162
24,35.934650320117754,31.223769303769043,0.001,84.8397115000007
25,34.33626381681271,36.06903615509723,0.001,85.54198059999999
26,34.56137877601688,37.66819279342048,0.001,85.42051670000001
27,31.73061197058052,29.48587967716368,0.001,84.90475800000058
28,32.04814346823796,35.85037840288238,0.001,85.98532970000088
29,30.826285878913456,30.423235047335005,0.001,85.60963240000001
30,30.335920247991208,29.875053260285977,0.001,85.25582810000014
31,32.53688314059168,35.61431555020607,0.001,85.20178180000039
32,28.918722543243057,29.17127347396592,0.001,85.52524090000043
33,28.490718935361496,26.8701033646104,0.001,85.92176479999944
34,27.561055182544717,26.5743367416037,0.001,85.81414379999933
35,26.63079950682476,28.020509587169368,0.001,85.89224769999964
36,27.876112051217955,31.54235314784077,0.001,85.4076143000002
37,25.684265706787386,27.28260268734,0.001,85.64773350000087
38,25.656114059845414,26.732312232087562,0.001,85.39530390000073
39,25.14149216618434,29.75985735553806,0.001,85.50032290000036
40,24.836245287994494,26.319910044050488,0.001,84.97099489999982
41,23.13906368620459,27.02140171783792,0.00098,85.46242860000075
42,23.408969148307968,23.576053009194844,0.0009603999999999999,85.5929900000001
43,23.54847977438504,22.358712301415913,0.0009411919999999999,85.54293990000042
44,23.550790765960915,23.943009303788006,0.0009223681599999998,84.68524089999937
45,22.571275211708308,26.460114348406172,0.0009039207967999998,84.75370679999924
46,21.110370535250148,24.00113069943789,0.0008858423808639998,84.77915719999964
47,21.365143612857015,22.77294869207393,0.0008681255332467198,84.79230160000043
48,20.872769584378666,24.556737226281463,0.0008507630225817853,84.66183910000018
49,21.071464737160152,22.148203887508412,0.0008337477621301496,84.70534569999927
50,20.52551532195786,23.064057802749893,0.0008170728068875465,85.33015690000047
51,19.311674456619468,22.200022314901407,0.0008007313507497956,85.00517570000011
52,18.430855504537032,24.22595944377662,0.0007847167237347997,85.13436499999989
53,19.68835143409399,21.67734381303949,0.0007690223892601037,85.39267180000024
54,17.739969501195173,20.85659465143236,0.0007536419414749016,85.48972020000019
55,18.502581375851758,24.290993281003445,0.0007385691026454036,85.88010630000008
56,19.157064045023976,21.805380624566375,0.0007237977205924955,85.8480653000006
57,17.048328220699947,22.46221040736484,0.0007093217661806456,85.57932660000006
58,18.006790641145038,20.672781634465448,0.0006951353308570327,85.70811279999907
59,17.109965444765713,21.10339007673964,0.000681232624239892,85.3816480000005
60,15.77613271235265,20.860488285452632,0.0006676079717550942,85.40166089999911
